Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,Gender,JobRole,MonthlyIncome,TotalWorkingYears
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,80,Female,Research Director,18740,29
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,Female,Sales Executive,7637,28
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83,Female,Healthcare Representative,10096,17
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,1,84,Female,Manager,14756,21
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85,Male,Manufacturing Director,6499,6
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86,Male,Research Scientist,9724,25
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,1,88,Male,Research Scientist,2194,5
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,Male,Research Scientist,3388,2
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,Female,Sales Executive,5473,20
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,94,Male,Research Scientist,2703,6
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95,Male,Research Scientist,2501,1
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96,Male,Research Scientist,6220,10
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97,Female,Laboratory Technician,3038,5
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98,Female,Manufacturing Director,4424,11
35,No,Travel_Rarely,776,Sales,1,4,Marketing,1,100,Male,Sales Executive,4312,16
45,No,Travel_Rarely,193,Research & Development,6,4,Other,1,101,Male,Research Director,13245,17
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,102,Male,Research Director,13664,16
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,1,103,Male,Human Resources,5021,16
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104,Male,Laboratory Technician,5126,10
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,Male,Research Scientist,2859,6
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106,Male,Sales Executive,10239,24
38,No,Non-Travel,573,Research & Development,6,3,Medical,1,107,Female,Research Scientist,5329,17
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,110,Male,Manufacturing Director,4325,5
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112,Male,Manufacturing Director,7260,37
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,Male,Sales Representative,2322,3
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,116,Male,Laboratory Technician,2075,10
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,117,Male,Healthcare Representative,4152,11
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,1,118,Male,Sales Executive,9619,9
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,119,Male,Healthcare Representative,13503,22
51,No,Travel_Rarely,632,Sales,21,4,Marketing,1,120,Male,Sales Executive,5441,11
30,No,Travel_Rarely,1334,Sales,4,2,Medical,1,121,Female,Sales Executive,5209,11
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,1,124,Male,Healthcare Representative,10673,21
32,No,Travel_Rarely,1093,Sales,6,4,Medical,1,125,Male,Sales Executive,5010,12
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,126,Female,Research Director,13549,16
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,128,Female,Sales Executive,4999,4
28,No,Non-Travel,120,Sales,4,3,Medical,1,129,Male,Sales Executive,4221,5
58,No,Travel_Rarely,682,Sales,10,4,Medical,1,131,Male,Sales Executive,13872,38
44,No,Non-Travel,489,Research & Development,23,3,Medical,1,132,Male,Laboratory Technician,2042,17
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,133,Male,Human Resources,2073,7
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,1,134,Male,Research Scientist,2956,1
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137,Female,Laboratory Technician,2926,1
34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,138,Female,Research Scientist,4809,16
37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,1,139,Male,Healthcare Representative,5163,17
59,No,Non-Travel,1420,Human Resources,2,4,Human Resources,1,140,Female,Manager,18844,30
50,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,141,Female,Research Director,18172,28
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,1,142,Male,Sales Executive,5744,6
25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,1,143,Male,Research Scientist,2889,2
22,No,Travel_Rarely,534,Research & Development,15,3,Medical,1,144,Female,Laboratory Technician,2871,1
51,No,Travel_Frequently,1456,Research & Development,1,4,Medical,1,145,Female,Healthcare Representative,7484,23
34,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,147,Male,Laboratory Technician,6074,9
54,No,Non-Travel,142,Human Resources,26,3,Human Resources,1,148,Female,Manager,17328,23
24,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,1,150,Male,Laboratory Technician,2774,6
34,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,1,151,Female,Research Scientist,4505,12
37,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,1,152,Male,Sales Executive,7428,12
34,No,Travel_Rarely,1354,Research & Development,5,3,Medical,1,153,Female,Manager,11631,14
36,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,1,154,Female,Sales Executive,9738,10
36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,155,Female,Laboratory Technician,2835,7
43,No,Travel_Frequently,394,Sales,26,2,Life Sciences,1,158,Male,Manager,16959,25
30,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,159,Male,Research Scientist,2613,10
33,No,Non-Travel,750,Sales,22,2,Marketing,1,160,Male,Sales Executive,6146,8
56,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,1,161,Female,Research Scientist,4963,7
51,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,162,Male,Research Director,19537,23
31,Yes,Travel_Rarely,249,Sales,6,4,Life Sciences,1,163,Male,Sales Executive,6172,12
26,No,Travel_Rarely,841,Research & Development,6,3,Other,1,164,Female,Research Scientist,2368,5
58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,1,165,Female,Healthcare Representative,10312,40
19,Yes,Travel_Rarely,528,Sales,22,1,Marketing,1,167,Male,Sales Representative,1675,0
22,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,1,169,Male,Laboratory Technician,2523,3
49,No,Travel_Rarely,470,Research & Development,20,4,Medical,1,170,Female,Manufacturing Director,6567,16
43,No,Travel_Frequently,957,Research & Development,28,3,Medical,1,171,Female,Research Scientist,4739,18
50,No,Travel_Frequently,809,Sales,12,3,Marketing,1,174,Female,Sales Executive,9208,16
31,Yes,Travel_Rarely,542,Sales,20,3,Life Sciences,1,175,Female,Sales Executive,4559,4
41,No,Travel_Rarely,802,Sales,9,1,Life Sciences,1,176,Male,Sales Executive,8189,12
26,No,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,1,177,Female,Human Resources,2942,8
36,No,Travel_Rarely,216,Research & Development,6,2,Medical,1,178,Male,Manufacturing Director,4941,7
51,Yes,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,179,Male,Manufacturing Director,10650,18
39,No,Travel_Rarely,1329,Sales,4,4,Life Sciences,1,182,Female,Sales Executive,5902,17
25,No,Travel_Rarely,959,Sales,28,3,Life Sciences,1,183,Male,Sales Executive,8639,6
30,No,Travel_Rarely,1240,Human Resources,9,3,Human Resources,1,184,Male,Human Resources,6347,12
32,Yes,Travel_Rarely,1033,Research & Development,9,3,Medical,1,190,Female,Laboratory Technician,4200,10
45,No,Travel_Rarely,1316,Research & Development,29,3,Medical,1,192,Male,Research Scientist,3452,9
38,No,Travel_Rarely,364,Research & Development,3,5,Technical Degree,1,193,Female,Research Scientist,4317,19
30,No,Travel_Rarely,438,Research & Development,18,3,Life Sciences,1,194,Female,Research Scientist,2632,5
32,No,Travel_Frequently,689,Sales,9,2,Medical,1,195,Male,Sales Executive,4668,9
30,No,Travel_Rarely,201,Research & Development,5,3,Technical Degree,1,197,Female,Research Scientist,3204,8
30,No,Travel_Rarely,1427,Research & Development,2,1,Medical,1,198,Male,Laboratory Technician,2720,6
41,No,Travel_Frequently,857,Research & Development,10,3,Life Sciences,1,199,Male,Manager,17181,21
41,No,Travel_Rarely,933,Research & Development,9,4,Life Sciences,1,200,Male,Laboratory Technician,2238,7
19,No,Travel_Rarely,1181,Research & Development,3,1,Medical,1,201,Female,Laboratory Technician,1483,1
40,No,Travel_Frequently,1395,Research & Development,26,3,Medical,1,202,Female,Research Scientist,5605,20
35,No,Travel_Rarely,662,Sales,1,5,Marketing,1,204,Male,Sales Executive,7295,10
53,No,Travel_Rarely,1436,Sales,6,2,Marketing,1,205,Male,Sales Representative,2306,13
45,No,Travel_Rarely,194,Research & Development,9,3,Life Sciences,1,206,Male,Laboratory Technician,2348,20
32,No,Travel_Frequently,967,Sales,8,3,Marketing,1,207,Female,Sales Executive,8998,9
29,No,Non-Travel,1496,Research & Development,1,1,Technical Degree,1,208,Male,Manufacturing Director,4319,10
51,No,Travel_Rarely,1169,Research & Development,7,4,Medical,1,211,Male,Manufacturing Director,6132,10
58,No,Travel_Rarely,1145,Research & Development,9,3,Medical,1,214,Female,Research Scientist,3346,9
40,No,Travel_Rarely,630,Sales,4,4,Marketing,1,215,Male,Sales Executive,10855,15
34,No,Travel_Frequently,303,Sales,2,4,Marketing,1,216,Female,Sales Representative,2231,6
22,No,Travel_Rarely,1256,Research & Development,19,1,Medical,1,217,Male,Research Scientist,2323,2
27,No,Non-Travel,691,Research & Development,9,3,Medical,1,218,Male,Research Scientist,2024,6
28,No,Travel_Rarely,440,Research & Development,21,3,Medical,1,221,Male,Research Scientist,2713,5
57,No,Travel_Rarely,334,Research & Development,24,2,Life Sciences,1,223,Male,Healthcare Representative,9439,12
27,No,Non-Travel,1450,Research & Development,3,3,Medical,1,224,Male,Research Scientist,2566,1
50,No,Travel_Rarely,1452,Research & Development,11,3,Life Sciences,1,226,Female,Manager,19926,21
41,No,Travel_Rarely,465,Research & Development,14,3,Life Sciences,1,227,Male,Research Scientist,2451,13
30,No,Travel_Rarely,1339,Sales,5,3,Life Sciences,1,228,Female,Sales Executive,9419,12
38,No,Travel_Rarely,702,Sales,1,4,Life Sciences,1,230,Female,Sales Executive,8686,12
32,No,Travel_Rarely,120,Research & Development,6,5,Life Sciences,1,231,Male,Research Scientist,3038,8
27,No,Travel_Rarely,1157,Research & Development,17,3,Technical Degree,1,233,Male,Research Scientist,3058,6
19,Yes,Travel_Frequently,602,Sales,1,1,Technical Degree,1,235,Female,Sales Representative,2325,1
36,No,Travel_Frequently,1480,Research & Development,3,2,Medical,1,238,Male,Laboratory Technician,2088,13
30,No,Non-Travel,111,Research & Development,9,3,Medical,1,239,Male,Laboratory Technician,3072,12
45,No,Travel_Rarely,1268,Sales,4,2,Life Sciences,1,240,Female,Sales Executive,5006,9
56,No,Travel_Rarely,713,Research & Development,8,3,Life Sciences,1,241,Female,Research Scientist,4257,19
33,No,Travel_Rarely,134,Research & Development,2,3,Life Sciences,1,242,Male,Research Scientist,2500,4
19,Yes,Travel_Rarely,303,Research & Development,2,3,Life Sciences,1,243,Male,Laboratory Technician,1102,1
46,No,Travel_Rarely,526,Sales,1,2,Marketing,1,244,Female,Sales Executive,10453,24
38,No,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,1,245,Female,Laboratory Technician,2288,2
31,No,Travel_Rarely,140,Research & Development,12,1,Medical,1,246,Female,Research Scientist,3929,7
34,No,Travel_Rarely,629,Research & Development,27,2,Medical,1,247,Female,Research Scientist,2311,9
41,Yes,Travel_Rarely,1356,Sales,20,2,Marketing,1,248,Female,Sales Representative,3140,4
50,No,Travel_Rarely,328,Research & Development,1,3,Medical,1,249,Male,Laboratory Technician,3690,5
53,No,Travel_Rarely,1084,Research & Development,13,2,Medical,1,250,Female,Manufacturing Director,4450,5
33,No,Travel_Rarely,931,Research & Development,14,3,Medical,1,252,Female,Research Scientist,2756,8
40,No,Travel_Rarely,989,Research & Development,4,1,Medical,1,253,Female,Manager,19033,21
55,No,Travel_Rarely,692,Research & Development,14,4,Medical,1,254,Male,Research Director,18722,36
34,No,Travel_Frequently,1069,Research & Development,2,1,Life Sciences,1,256,Male,Manufacturing Director,9547,10
51,No,Travel_Rarely,313,Research & Development,3,3,Medical,1,258,Female,Healthcare Representative,13734,21
52,No,Travel_Rarely,699,Research & Development,1,4,Life Sciences,1,259,Male,Manager,19999,34
27,No,Travel_Rarely,894,Research & Development,9,3,Medical,1,260,Female,Research Scientist,2279,7
35,Yes,Travel_Rarely,556,Research & Development,23,2,Life Sciences,1,261,Male,Manufacturing Director,5916,8
43,No,Non-Travel,1344,Research & Development,7,3,Medical,1,262,Male,Research Scientist,2089,7
45,No,Non-Travel,1195,Research & Development,2,2,Medical,1,264,Male,Manager,16792,22
37,No,Travel_Rarely,290,Research & Development,21,3,Life Sciences,1,267,Male,Research Scientist,3564,8
35,No,Travel_Frequently,138,Research & Development,2,3,Medical,1,269,Female,Laboratory Technician,4425,10
42,No,Non-Travel,926,Research & Development,21,2,Medical,1,270,Female,Manufacturing Director,5265,11
38,No,Travel_Rarely,1261,Research & Development,2,4,Life Sciences,1,271,Male,Manufacturing Director,6553,14
38,No,Travel_Rarely,1084,Research & Development,29,3,Technical Degree,1,273,Male,Manufacturing Director,6261,9
27,No,Travel_Frequently,472,Research & Development,1,1,Technical Degree,1,274,Male,Manufacturing Director,4298,6
49,No,Non-Travel,1002,Research & Development,18,4,Life Sciences,1,275,Male,Manufacturing Director,6804,7
34,No,Travel_Frequently,878,Research & Development,10,4,Medical,1,277,Male,Research Scientist,3815,5
40,No,Travel_Rarely,905,Research & Development,19,2,Medical,1,281,Male,Laboratory Technician,2741,15
38,Yes,Travel_Rarely,1180,Research & Development,29,1,Medical,1,282,Male,Healthcare Representative,6673,17
29,Yes,Travel_Rarely,121,Sales,27,3,Marketing,1,283,Female,Sales Executive,7639,10
22,No,Travel_Rarely,1136,Research & Development,5,3,Life Sciences,1,284,Male,Research Scientist,2328,4
36,No,Travel_Frequently,635,Research & Development,18,1,Medical,1,286,Female,Laboratory Technician,2153,8
40,No,Non-Travel,1151,Research & Development,9,5,Life Sciences,1,287,Male,Healthcare Representative,4876,5
46,No,Travel_Rarely,644,Research & Development,1,4,Medical,1,288,Male,Healthcare Representative,9396,17
32,Yes,Travel_Rarely,1045,Sales,4,4,Medical,1,291,Male,Sales Executive,10400,14
30,No,Non-Travel,829,Research & Development,1,1,Life Sciences,1,292,Male,Manufacturing Director,8474,12
27,No,Travel_Frequently,1242,Sales,20,3,Life Sciences,1,293,Female,Sales Executive,9981,7
51,No,Travel_Rarely,1469,Research & Development,8,4,Life Sciences,1,296,Male,Research Director,12490,16
30,Yes,Travel_Rarely,1005,Research & Development,3,3,Technical Degree,1,297,Female,Research Scientist,2657,8
41,No,Travel_Rarely,896,Sales,6,3,Life Sciences,1,298,Female,Manager,13591,16
30,Yes,Travel_Frequently,334,Sales,26,4,Marketing,1,299,Female,Sales Executive,6696,9
29,Yes,Travel_Rarely,992,Research & Development,1,3,Technical Degree,1,300,Male,Research Scientist,2058,7
45,No,Non-Travel,1052,Sales,6,3,Medical,1,302,Female,Sales Executive,8865,23
54,No,Travel_Rarely,1147,Sales,3,3,Marketing,1,303,Female,Sales Executive,5940,16
36,No,Travel_Rarely,1396,Research & Development,5,2,Life Sciences,1,304,Male,Laboratory Technician,5914,16
33,No,Travel_Rarely,147,Research & Development,4,4,Medical,1,305,Female,Research Scientist,2622,7
37,No,Travel_Frequently,663,Research & Development,11,3,Other,1,306,Male,Research Director,12185,10
38,No,Travel_Rarely,119,Sales,3,3,Life Sciences,1,307,Male,Sales Executive,10609,17
31,No,Non-Travel,979,Research & Development,1,4,Medical,1,308,Male,Manufacturing Director,4345,6
59,No,Travel_Rarely,142,Research & Development,3,3,Life Sciences,1,309,Male,Research Scientist,2177,7
37,No,Travel_Frequently,319,Sales,4,4,Marketing,1,311,Male,Sales Representative,2793,13
29,No,Travel_Frequently,1413,Sales,1,1,Medical,1,312,Female,Sales Executive,7918,11
35,No,Travel_Frequently,944,Sales,1,3,Marketing,1,314,Female,Sales Executive,8789,10
29,Yes,Travel_Rarely,896,Research & Development,18,1,Medical,1,315,Male,Research Scientist,2389,4
52,No,Travel_Rarely,1323,Research & Development,2,3,Life Sciences,1,316,Female,Laboratory Technician,3212,6
42,No,Travel_Rarely,532,Research & Development,4,2,Technical Degree,1,319,Male,Manager,19232,22
59,No,Travel_Rarely,818,Human Resources,6,2,Medical,1,321,Male,Human Resources,2267,7
50,No,Travel_Rarely,854,Sales,1,4,Medical,1,323,Female,Manager,19517,32
33,Yes,Travel_Rarely,813,Research & Development,14,3,Medical,1,325,Male,Laboratory Technician,2436,8
43,No,Travel_Rarely,1034,Sales,16,3,Marketing,1,327,Female,Manager,16064,22
33,Yes,Travel_Rarely,465,Research & Development,2,2,Life Sciences,1,328,Female,Laboratory Technician,2707,13
52,No,Non-Travel,771,Sales,2,4,Life Sciences,1,329,Male,Manager,19068,33
32,No,Travel_Rarely,1401,Sales,4,2,Life Sciences,1,330,Female,Sales Representative,3931,6
32,Yes,Travel_Rarely,515,Research & Development,1,3,Life Sciences,1,331,Male,Laboratory Technician,3730,4
39,No,Travel_Rarely,1431,Research & Development,1,4,Medical,1,332,Female,Laboratory Technician,2232,7
32,No,Non-Travel,976,Sales,26,4,Marketing,1,333,Male,Sales Executive,4465,4
41,No,Travel_Rarely,1411,Research & Development,19,2,Life Sciences,1,334,Male,Research Scientist,3072,17
40,No,Travel_Rarely,1300,Research & Development,24,2,Technical Degree,1,335,Male,Research Scientist,3319,9
45,No,Travel_Rarely,252,Research & Development,1,3,Other,1,336,Male,Manager,19202,25
31,No,Travel_Frequently,1327,Research & Development,3,4,Medical,1,337,Male,Research Director,13675,9
33,No,Travel_Rarely,832,Research & Development,5,4,Life Sciences,1,338,Female,Research Scientist,2911,2
34,No,Travel_Rarely,470,Research & Development,2,4,Life Sciences,1,339,Male,Manufacturing Director,5957,13
37,No,Travel_Rarely,1017,Research & Development,1,2,Medical,1,340,Female,Research Scientist,3920,17
45,No,Travel_Frequently,1199,Research & Development,7,4,Life Sciences,1,341,Male,Manufacturing Director,6434,9
37,Yes,Travel_Frequently,504,Research & Development,10,3,Medical,1,342,Male,Manufacturing Director,10048,17
39,No,Travel_Frequently,505,Research & Development,2,4,Technical Degree,1,343,Female,Healthcare Representative,10938,20
29,No,Travel_Rarely,665,Research & Development,15,3,Life Sciences,1,346,Male,Research Scientist,2340,6
42,No,Travel_Rarely,916,Research & Development,17,2,Life Sciences,1,347,Female,Research Scientist,6545,10
29,No,Travel_Rarely,1247,Sales,20,2,Marketing,1,349,Male,Sales Executive,6931,10
25,No,Travel_Rarely,685,Research & Development,1,3,Life Sciences,1,350,Female,Manufacturing Director,4898,5
42,No,Travel_Rarely,269,Research & Development,2,3,Medical,1,351,Female,Laboratory Technician,2593,10
40,No,Travel_Rarely,1416,Research & Development,2,2,Medical,1,352,Male,Research Director,19436,22
51,No,Travel_Rarely,833,Research & Development,1,3,Life Sciences,1,353,Male,Research Scientist,2723,1
31,Yes,Travel_Frequently,307,Research & Development,29,2,Medical,1,355,Male,Laboratory Technician,3479,6
32,No,Travel_Frequently,1311,Research & Development,7,3,Life Sciences,1,359,Male,Laboratory Technician,2794,5
38,No,Non-Travel,1327,Sales,2,2,Life Sciences,1,361,Male,Sales Executive,5249,13
32,No,Travel_Rarely,128,Research & Development,2,1,Technical Degree,1,362,Male,Laboratory Technician,2176,9
46,No,Travel_Rarely,488,Sales,2,3,Technical Degree,1,363,Female,Manager,16872,28
28,Yes,Travel_Rarely,529,Research & Development,2,4,Life Sciences,1,364,Male,Laboratory Technician,3485,5
29,No,Travel_Rarely,1210,Sales,2,3,Medical,1,366,Male,Sales Executive,6644,10
31,No,Travel_Rarely,1463,Research & Development,23,3,Medical,1,367,Male,Healthcare Representative,5582,10
25,No,Non-Travel,675,Research & Development,5,2,Life Sciences,1,369,Male,Healthcare Representative,4000,6
45,No,Travel_Rarely,1385,Research & Development,20,2,Medical,1,372,Male,Healthcare Representative,13496,21
36,No,Travel_Rarely,1403,Research & Development,6,3,Life Sciences,1,373,Male,Laboratory Technician,3210,16
55,No,Travel_Rarely,452,Research & Development,1,3,Medical,1,374,Male,Manager,19045,37
47,Yes,Non-Travel,666,Research & Development,29,4,Life Sciences,1,376,Male,Manager,11849,10
28,No,Travel_Rarely,1158,Research & Development,9,3,Medical,1,377,Male,Research Scientist,2070,5
37,No,Travel_Rarely,228,Sales,6,4,Medical,1,378,Male,Sales Executive,6502,7
21,No,Travel_Rarely,996,Research & Development,3,2,Medical,1,379,Male,Research Scientist,3230,3
37,No,Non-Travel,728,Research & Development,1,4,Medical,1,380,Female,Research Director,13603,15
